FL_DATE,ORIGIN,DEST,DEP_DELAY,ARR_DELAY
8/1/2018,PVD,PHL,-7,-22
8/1/2018,CLT,MIA,-4,-21
8/1/2018,CLT,PDX,49,41
8/1/2018,MIA,CLT,73,56
8/1/2018,CLT,SAN,26,16
8/1/2018,CLT,RSW,34,27
8/1/2018,DEN,CLT,-7,-15
8/1/2018,PHX,DEN,-5,-11
8/1/2018,DFW,PHX,237,230
8/1/2018,DCA,TPA,12,23
8/1/2018,CLT,LGA,-8,-12
8/1/2018,LGA,CLT,-7,-10
8/1/2018,PHL,RDU,-2,-13
8/1/2018,CLT,TPA,2,-6
8/1/2018,TPA,CLT,-2,10
8/1/2018,CLT,PIT,151,140
8/1/2018,CLT,MEM,2,6
8/1/2018,MEM,CLT,4,-15
8/1/2018,PHL,SAT,4,60
8/1/2018,BNA,PHL,-4,-1
8/1/2018,PHL,BNA,-3,-3
8/1/2018,CLT,PIT,16,7
8/1/2018,CLT,JAX,-2,-7
8/1/2018,JAX,CLT,-5,-8
8/1/2018,CLT,BDL,42,40
8/1/2018,CLT,AUS,-3,-3
8/1/2018,DFW,MEM,29,40
8/1/2018,AUS,PHX,-10,9
8/1/2018,DFW,PIT,107,104
8/1/2018,LAX,LAS,64,66
8/1/2018,PHL,AUS,206,197
8/1/2018,ORD,PHX,-4,-18
8/1/2018,PHX,DFW,46,33
8/1/2018,SFO,PHL,-1,-16
8/1/2018,DCA,TPA,-2,-26
8/1/2018,TPA,PHL,35,19
8/1/2018,IAH,PHL,-4,-20
8/1/2018,PHL,MHT,50,27
8/1/2018,DFW,OAK,15,22
8/1/2018,DFW,LAS,30,46
8/1/2018,PHL,ATL,-7,-11
8/1/2018,CLT,TPA,22,22
8/1/2018,GEG,DFW,-1,-18
8/1/2018,CLT,DCA,14,-9
8/1/2018,MCO,PHL,-4,-20
8/1/2018,PHL,MCO,-2,-11
8/1/2018,MSP,PHL,-2,-12
8/1/2018,PHL,MSP,22,-1
8/1/2018,SFO,PHL,38,24
8/1/2018,DEN,PHL,14,16
8/1/2018,PHL,DEN,-5,-9
8/1/2018,CLT,LGA,3,-17
8/1/2018,LGA,CLT,-4,18
8/1/2018,SFO,CLT,-3,-9
8/1/2018,CLT,SFO,43,104
8/1/2018,PHL,PBI,48,35
8/1/2018,PHL,DEN,8,42
8/1/2018,PHL,ATL,-6,-12
8/1/2018,CLT,LGA,17,9
8/1/2018,LGA,CLT,1,-5
8/1/2018,MIA,DTW,-6,-21
8/1/2018,MSY,ORD,-7,-12
8/1/2018,DFW,SJU,36,35
8/1/2018,BOS,ORD,-4,-28
8/1/2018,DFW,MCO,-1,27
8/1/2018,AUS,DFW,-7,-22
8/1/2018,DFW,ORD,6,16
8/1/2018,LGA,DFW,-1,-5
8/1/2018,JFK,SEA,14,14
8/1/2018,ORD,CLT,-7,-18
8/1/2018,MIA,DFW,33,50
8/1/2018,MCO,PHL,73,77
8/1/2018,LAS,DFW,-4,-24
8/1/2018,BOS,DFW,-1,-11
8/1/2018,DFW,PDX,47,46
8/1/2018,LAS,LAX,-1,-5
8/1/2018,DFW,BOI,9,29
8/1/2018,LAX,DCA,1,-16
8/1/2018,ORD,EWR,47,51
8/1/2018,BOI,DFW,0,-21
8/1/2018,SAN,DFW,-2,-5
8/1/2018,DFW,MSY,59,53
8/1/2018,MSY,DFW,32,23
8/1/2018,BWI,MIA,2,-3
8/1/2018,MIA,BWI,-3,-8
8/1/2018,DFW,MCO,-2,-4
8/1/2018,MCO,DFW,-1,4
8/1/2018,MIA,BOS,25,23
8/1/2018,OMA,DFW,-8,-16
8/1/2018,ORD,FLL,89,83
8/1/2018,BOS,LAX,-4,-41
8/1/2018,LAX,BOS,-5,15
8/1/2018,LAX,DFW,-3,22
8/1/2018,DCA,ORD,-5,-24
8/1/2018,DFW,FLL,20,29
8/1/2018,SFO,MIA,-2,29
8/1/2018,IAH,DFW,-4,-19
8/1/2018,CLT,MSP,-1,-10
8/1/2018,MSP,CLT,-3,-2
8/1/2018,DFW,SMF,34,50
8/1/2018,DFW,ONT,-5,-8
8/1/2018,SAT,CLT,-4,-14
8/1/2018,LAS,DCA,608,605
8/1/2018,FLL,DFW,-1,2
8/1/2018,DFW,DTW,11,16
8/1/2018,DTW,DFW,22,10
8/1/2018,CLT,STL,73,135
8/1/2018,DFW,PHL,-2,-6
8/1/2018,PHL,DFW,-3,2
8/1/2018,AUS,DFW,-9,-9
8/1/2018,DFW,ABQ,12,21
8/1/2018,SLC,ORD,-10,6
8/1/2018,DFW,SLC,5,-3
8/1/2018,DFW,MIA,-6,0
8/1/2018,DFW,SAN,6,19
8/1/2018,MIA,PHL,61,67
8/1/2018,PHL,MIA,169,184
8/1/2018,JFK,MIA,-1,-13
8/1/2018,MIA,JFK,-3,44
8/1/2018,ORD,STL,6,14
8/1/2018,STL,PHX,-6,-22
8/1/2018,MIA,DFW,9,10
8/1/2018,ORD,BWI,18,28
8/1/2018,PDX,DFW,-5,-29
8/1/2018,MCO,MIA,-1,-1
8/1/2018,DFW,BOS,100,103
8/1/2018,JFK,CLT,36,78
8/1/2018,ORD,CLT,21,39
8/1/2018,BWI,ORD,-4,-29
8/1/2018,BNA,DFW,-9,-1
8/1/2018,DFW,ORD,202,195
8/1/2018,ORD,SEA,32,41
8/1/2018,DFW,ORF,5,7
8/1/2018,BOS,PHX,84,95
8/1/2018,SNA,ORD,-5,-6
8/1/2018,DFW,SAT,8,2
8/1/2018,SAT,DFW,-5,-16
8/1/2018,AUS,DFW,69,62
8/1/2018,DFW,AUS,82,94
8/1/2018,PHL,MIA,27,16
8/1/2018,DFW,JAC,136,132
8/1/2018,ELP,ORD,-3,6
8/1/2018,ORD,ELP,-1,-7
8/1/2018,IAH,DFW,-3,-4
8/1/2018,BOS,DFW,-3,13
8/1/2018,LAX,ATL,25,36
8/1/2018,CLT,DFW,96,98
8/1/2018,SMF,DFW,-7,-15
8/1/2018,SEA,ORD,1,45
8/1/2018,RDU,DFW,0,4
8/1/2018,DFW,PHX,2,0
8/1/2018,PHL,DFW,15,27
8/1/2018,PHL,DFW,1,1
8/1/2018,CVG,DFW,18,13
8/1/2018,DFW,CVG,30,24
8/1/2018,ORD,LAX,7,48
8/1/2018,DEN,DFW,-5,-2
8/1/2018,DFW,SNA,-2,-1
8/1/2018,SFO,ORD,-1,36
8/1/2018,BZN,DFW,21,13
8/1/2018,DFW,BZN,19,25
8/1/2018,DFW,OKC,-5,-1
8/1/2018,OKC,DFW,-7,-16
8/1/2018,IAD,DFW,0,12
8/1/2018,ATL,DFW,-5,-16
8/1/2018,DFW,IND,3,-8
8/1/2018,MKE,DFW,-3,-14
8/1/2018,RNO,ORD,-4,11
8/1/2018,BOS,MIA,-4,-16
8/1/2018,MIA,TPA,-2,-2
8/1/2018,TPA,MIA,-8,6
8/1/2018,MIA,IAD,10,13
8/1/2018,SNA,DFW,-5,-11
8/1/2018,RDU,DFW,-2,1
8/1/2018,DFW,OMA,51,54
8/1/2018,EWR,ORD,43,36
8/1/2018,DFW,IAH,4,9
8/1/2018,IAH,DFW,5,-3
8/1/2018,DFW,CAE,0,-4
8/1/2018,LGA,DFW,-1,-5
8/1/2018,ORD,DCA,9,30
8/1/2018,ORD,SFO,-2,-12
8/1/2018,SFO,ORD,-3,12
8/1/2018,DEN,DFW,-1,-17
8/1/2018,DFW,DEN,-4,1
8/1/2018,DFW,AUS,8,21
8/1/2018,EWR,PHX,10,21
8/1/2018,PHX,SNA,9,18
8/1/2018,ONT,DFW,12,27
8/1/2018,ORD,SFO,-3,128
8/1/2018,DFW,PBI,1,8
8/1/2018,PBI,DFW,5,-1
8/1/2018,DFW,PNS,0,-2
8/1/2018,DFW,LAX,4,-3
8/1/2018,JFK,CLT,3,5
8/1/2018,DFW,XNA,107,99
8/1/2018,XNA,DFW,95,81
8/1/2018,LGA,MCO,-6,-14
8/1/2018,CHS,DFW,-5,-19
8/1/2018,DFW,CHS,-3,-1
8/1/2018,JFK,SEA,-6,6
8/1/2018,SEA,JFK,25,29
8/1/2018,MIA,DCA,-2,13
8/1/2018,DFW,LAS,2,7
8/1/2018,LAS,DFW,1,-2
8/1/2018,MIA,ORD,4,-23
8/1/2018,JFK,SFO,34,47
8/1/2018,FAT,DFW,-2,-16
8/1/2018,DCA,JFK,12,-2
8/1/2018,DEN,DFW,1,-16
8/1/2018,DFW,DEN,6,2
8/1/2018,CLT,DFW,-2,-8
8/1/2018,MCO,MIA,-4,-12
8/1/2018,MIA,MCO,4,-4
8/1/2018,PDX,PHX,0,6
8/1/2018,PHX,SNA,-8,-7
8/1/2018,SNA,DFW,37,45
8/1/2018,PHL,BOS,-7,-2
8/1/2018,IAH,CLT,-8,-20
8/1/2018,CLT,TUL,37,96
8/1/2018,BNA,LAX,11,11
8/1/2018,LAX,BNA,15,5
8/1/2018,PHL,MIA,19,5
8/1/2018,AUS,CLT,-3,-7
8/1/2018,RDU,ORD,-1,-25
8/1/2018,DFW,IAH,-7,1
8/1/2018,IAH,DFW,-5,-25
8/1/2018,LGA,MIA,-5,-5
8/1/2018,MIA,LGA,-4,-24
8/1/2018,BWI,CLT,-5,2
8/1/2018,PHX,SAN,-7,-9
8/1/2018,SAN,PHX,-6,7
8/1/2018,BUF,CLT,-6,-7
8/1/2018,CLT,BUF,-1,-18
8/1/2018,MIA,SAN,11,13
8/1/2018,BNA,DFW,33,22
8/1/2018,DFW,BNA,32,32
8/1/2018,ELP,DFW,-8,-15
8/1/2018,MCO,DFW,-4,10
8/1/2018,DCA,ORD,48,73
8/1/2018,ORD,DCA,20,62
8/1/2018,CLT,ORD,13,11
8/1/2018,ORD,CLT,15,34
8/1/2018,DFW,PHX,-3,-8
8/1/2018,ORD,CLT,43,36
8/1/2018,PHX,DFW,-2,-1
8/1/2018,PHL,MSP,1,8
8/1/2018,PHL,MCI,-9,-16
8/1/2018,PHL,SEA,73,76
8/1/2018,CLT,EWR,50,114
8/1/2018,EWR,CLT,97,125
8/1/2018,PHL,IAH,67,134
8/1/2018,PHL,LAX,-6,19
8/1/2018,STL,CLT,-7,-13
8/1/2018,CLT,LAS,-5,-5
8/1/2018,MCO,CLT,-6,4
8/1/2018,FLL,PHL,3,-14
8/1/2018,PHL,FLL,1,-5
8/1/2018,BOS,PHL,-6,-17
8/1/2018,MCO,PHL,-10,-23
8/1/2018,CLE,PHL,86,82
8/1/2018,PHL,CLE,46,69
8/1/2018,BOS,CLT,0,-8
8/1/2018,CLT,BOS,5,-14
8/1/2018,CLT,MCI,181,168
8/1/2018,MHT,PHL,3,-3
8/1/2018,PHL,MHT,14,6
8/1/2018,ALB,CLT,30,55
8/1/2018,CLT,ALB,29,38
8/1/2018,CLT,MCI,5,7
8/1/2018,MCI,CLT,6,7
8/1/2018,ATL,PHL,-11,-23
8/1/2018,DFW,MIA,9,-2
8/1/2018,LAS,DFW,0,-7
8/1/2018,CLT,RIC,59,58
8/1/2018,RIC,CLT,47,72
8/1/2018,RDU,LAX,0,-14
8/1/2018,RIC,CLT,-5,22
8/1/2018,BOS,CLT,8,-2
8/1/2018,CLT,BOS,-1,10
8/1/2018,MCI,PHL,12,55
8/1/2018,PHL,MCI,-3,-8
8/1/2018,ORF,CLT,-3,0
8/1/2018,PHL,MCO,64,73
8/1/2018,ORD,PHL,5,30
8/1/2018,PHL,ORD,-5,-19
8/1/2018,MIA,TPA,-5,-12
8/1/2018,PHL,PVD,99,82
8/1/2018,BUF,CLT,22,67
8/1/2018,CLT,BUF,33,26
8/1/2018,CLT,BNA,45,45
8/1/2018,LAX,PHX,-4,-1
8/1/2018,CLT,PIT,-4,-10
8/1/2018,PIT,CLT,41,79
8/1/2018,DTW,PHL,24,79
8/1/2018,PHL,DTW,22,28
8/1/2018,BNA,CLT,-3,-9
8/1/2018,PDX,CLT,51,58
8/1/2018,CLT,MSY,-1,-1
8/1/2018,MSY,CLT,-7,-7
8/1/2018,BWI,PHX,21,44
8/1/2018,PHX,BWI,3,9
8/1/2018,CLT,STL,14,16
8/1/2018,STL,CLT,32,65
8/1/2018,PHL,BNA,9,28
8/1/2018,PWM,PHL,-5,-9
8/1/2018,PHL,PWM,-2,-9
8/1/2018,PWM,PHL,-7,-23
8/1/2018,CLT,BOS,28,23
8/1/2018,CLT,ORF,17,23
8/1/2018,CLT,MCO,16,1
8/1/2018,MCO,CLT,37,84
8/1/2018,MEM,DFW,3,4
8/1/2018,ORD,PHL,82,88
8/1/2018,PHL,ORD,65,86
8/1/2018,CLT,LGA,63,42
8/1/2018,CLT,MSY,55,57
8/1/2018,CLT,JAX,-2,-7
8/1/2018,JAX,CLT,-3,-9
8/1/2018,OGG,PHX,-12,-27
8/1/2018,CLT,RIC,64,58
8/1/2018,ATL,CLT,50,79
8/1/2018,PHL,PIT,16,51
8/1/2018,PIT,PHL,49,45
8/1/2018,CLT,PBI,-2,-5
8/1/2018,PBI,CLT,6,8
8/1/2018,PHX,OMA,6,6
8/1/2018,CLT,LAX,63,38
8/1/2018,LAX,CLT,-1,1
8/1/2018,BDL,PHL,-6,12
8/1/2018,SEA,CLT,0,-11
8/1/2018,MSY,PHL,3,-19
8/1/2018,PHL,MSY,16,10
8/1/2018,CLT,SFO,-3,-4
8/1/2018,SFO,CLT,0,33
8/1/2018,CLT,DEN,-2,-12
8/1/2018,DEN,CLT,-6,-26
8/1/2018,CMH,PHX,1,-6
8/1/2018,DSM,PHX,7,-1
8/1/2018,PHX,DSM,-9,-6
8/1/2018,SFO,CLT,-8,-19
8/1/2018,AUS,CLT,3,-5
8/1/2018,CLT,AUS,0,2
8/1/2018,CLT,PIT,42,30
8/1/2018,CLT,MEM,44,37
8/1/2018,ORD,PHX,55,54
8/1/2018,PHX,ORD,-1,57
8/1/2018,PHL,PHX,47,22
8/1/2018,ORD,PHL,1,15
8/1/2018,JAX,CLT,-7,2
8/1/2018,CLT,STL,172,170
8/1/2018,BDL,CLT,-7,-13
8/1/2018,CLT,SYR,246,234
8/1/2018,TPA,MIA,-5,-12
8/1/2018,CLT,BOS,64,62
